year,total spending share,non-hospital spending share,,,year,athletics ,other spending  
2004,0.003197678,0.008711809,,,2023,0.00925994,0.99084006
2005,0.003109878,0.008667537,,,,,
2006,0.003229442,0.009180881,,,,,
2007,0.003381096,0.009564774,,,,,
2008,0.003142579,0.008808865,,,,,
2009,0.003260807,0.009207965,,,,,
2010,0.003184363,0.009182204,,,,,
2011,0.003062152,0.00872851,,,,,
2012,0.003129309,0.009132614,,,,,
2013,0.002988924,0.009330181,,,,,
2014,0.002987467,0.009814044,,,,,
2015,0.002928029,0.009826176,,,,,
2016,0.002499133,0.008566349,,,,,
2017,0.002534621,0.009367122,,,,,
2018,0.002355518,0.008488767,,,,,
2019,0.002258394,0.008073466,,,,,
2020,0.00181418,0.007135793,,,,,
2021,0.002069934,0.008399417,,,,,
2022,0.002323546,0.009392847,,,,,
2023,0.002109466,0.00925994,,,,,
